Var1,Freq,,Var1,Freq,,Var1,Freq,,Var1,Freq,,Var1,Freq,,Var1,Freq,,Var1,Freq,,Var1,Freq
RYR2,19,,PROC,7,,GRIA3,4,,SLC2A1,3,,MC2R,2,,CRAT,1,,MSX1,1,,SPG7,1
FBN2,18,,TUBB2B,7,,GRIA4,4,,SLC4A11,3,,MC4R,2,,CREBBP,1,,MSX2,1,,SPTAN1,1
KCNQ4,17,,APC,6,,HEXA,4,,SOS1,3,,MUSK,2,,CRYBB2,1,,MYC,1,,SPTB,1
PIK3CA,16,,AVPR2,6,,HSPB8,4,,SOX10,3,,MYH14,2,,CRYGC,1,,MYCN,1,,SPTBN2,1
RAF1,16,,CACNA1A,6,,IL2RG,4,,SOX2,3,,MYH2,2,,CYP1B1,1,,MYH11,1,,STAT5B,1
SCN9A,16,,CLCN4,6,,KIF1A,4,,STAT1,3,,NAGA,2,,CYP24A1,1,,MYH6,1,,SYNGAP1,1
COL6A1,15,,CLCN5,6,,KMT2D,4,,STXBP2,3,,NKX2-5,2,,DHH,1,,MYH8,1,,TARDBP,1
MAP2K2,15,,COL4A2,6,,LRP4,4,,TFAP2B,3,,NPR2,2,,DLX3,1,,MYO5B,1,,TBX22,1
ACTA1,14,,DHCR7,6,,MAP3K7,4,,TGFB3,3,,NR2E3,2,,DMBX1,1,,MYOC,1,,TBX5,1
ATP7B,14,,ERBB2,6,,MYH9,4,,TK2,3,,NRL,2,,DTNA,1,,NALCN,1,,TBXAS1,1
HBA1,14,,FSHR,6,,NR2F1,4,,TRPV3,3,,OCRL,2,,ECEL1,1,,NCF1,1,,TCF12,1
KCNJ11,14,,GATA4,6,,NR3C1,4,,TUBA1A,3,,POU3F4,2,,ECHS1,1,,NDUFA9,1,,TECTA,1
ACADM,13,,IDH1,6,,OTX2,4,,TUBB,3,,POU4F3,2,,EHMT1,1,,NEDD4L,1,,TGFB1,1
CSF1R,13,,INSR,6,,PAX9,4,,TWIST2,3,,PTCH1,2,,EIF2AK3,1,,NEUROD1,1,,TGFB2,1
GALNS,13,,ITPR1,6,,PIEZO2,4,,ABL1,2,,PYCR2,2,,EIF2AK4,1,,NEUROG3,1,,THRA,1
GCDH,13,,MYO7A,6,,PIK3CD,4,,ACTN2,2,,RUNX1,2,,ELOVL4,1,,NFIA,1,,TMPRSS6,1
GRIN2B,13,,NEFL,6,,PSEN1,4,,ACVR1,2,,SDHD,2,,ELOVL5,1,,NFIB,1,,TNFRSF11B,1
KRT16,13,,PIK3R1,6,,PSEN2,4,,AKT3,2,,SETD2,2,,ERBB3,1,,NLGN3,1,,TNNC1,1
KRT6A,13,,SERPINC1,6,,PYCR1,4,,ALOX12B,2,,SLC4A1,2,,ERBB4,1,,NLGN4X,1,,TNNI2,1
TGFBR1,13,,SLC26A4,6,,SCN3A,4,,ALOXE3,2,,SLC52A2,2,,ESRRB,1,,NOTCH1,1,,TNNI3,1
ARSA,12,,SOX9,6,,SMARCA2,4,,ALX4,2,,SLC6A1,2,,EZH2,1,,NR1H3,1,,TPM1,1
ATP7A,12,,STXBP1,6,,SMARCA4,4,,AQP2,2,,SOX11,2,,FGF17,1,,NR3C2,1,,TPM3,1
EGFR,12,,TRPS1,6,,SOS2,4,,ARSE,2,,STAT3,2,,FGF8,1,,OPN1LW,1,,TRPV4,1
F9,12,,TSHR,6,,SPTA1,4,,ATP1A1,2,,TCF4,2,,FOXF1,1,,OPN1MW,1,,TSHB,1
GRIN1,12,,WT1,6,,STS,4,,C1R,2,,TFAP2A,2,,FOXG1,1,,OPN1SW,1,,TUBA3E,1
GRIN2A,12,,ABCA1,5,,TH,4,,CACNA1D,2,,TGDS,2,,FZD6,1,,OPTN,1,,TUBB6,1
KCNQ3,12,,ABCA12,5,,TUBA4A,4,,CACNA1H,2,,TGM5,2,,GAA,1,,PAX4,1,,VIM,1
KRT17,12,,ABCA3,5,,TUBB8,4,,CACNA1S,2,,TMPRSS3,2,,GABRB1,1,,PHKA1,1,,VLDLR,1
KRT9,12,,ARX,5,,ABCC9,3,,CAMK2B,2,,TNNT2,2,,GANAB,1,,PHKA2,1,,VSX1,1
LRP5,12,,CACNA1G,5,,ACTC1,3,,CHRND,2,,TNNT3,2,,GDF6,1,,PHOX2B,1,,WNT4,1
AR,11,,GATA6,5,,ALK,3,,CLN8,2,,TUBB4B,2,,GHRHR,1,,PITX1,1,,WNT7A,1
ARSB,11,,GJA3,5,,ALX3,3,,CNGA3,2,,TWIST1,2,,GLDN,1,,PITX2,1,,ZBTB18,1
CRB1,11,,GJB3,5,,ARAF,3,,COL17A1,2,,VWF,2,,GLUD1,1,,POMT1,1,,ZBTB42,1
