Var1,Freq,,Var1,Freq,,Var1,Freq,,Var1,Freq,,Var1,Freq
HESX1,2,,STAT3,2,,CHD2,1,,FGF8,1,,KCNV2,1
HIST1H3I,2,,TCF4,2,,CHD3,1,,FOXF1,1,,KIF11,1
HNF1B,2,,TFAP2A,2,,CHD4,1,,FOXG1,1,,KLKB1,1
HNRNPA1,2,,TGDS,2,,CHD7,1,,FZD6,1,,KMT2A,1
INPP5E,2,,TGM5,2,,CHRNA1,1,,GAA,1,,KRT4,1
ITGB3,2,,TMPRSS3,2,,CHRNB2,1,,GABRB1,1,,KRT6C,1
JAG1,2,,TNNT2,2,,CHRNG,1,,GANAB,1,,KRT74,1
JAK3,2,,TNNT3,2,,CHST3,1,,GDF6,1,,LHB,1
KCNH2,2,,TUBB4B,2,,CHST6,1,,GHRHR,1,,LHX3,1
KCNJ1,2,,TWIST1,2,,CLCNKA,1,,GLDN,1,,LHX4,1
KCNJ6,2,,VWF,2,,CLCNKB,1,,GLUD1,1,,LRP2,1
KIF1C,2,,ZAP70,2,,CNGA1,1,,GLUD2,1,,LRP6,1
KRT13,2,,ACADSB,1,,COL10A1,1,,GNA14,1,,LTBP3,1
KRT6B,2,,ACTN1,1,,COL12A1,1,,GNAI3,1,,LTBP4,1
KRT81,2,,AFG3L2,1,,COL6A3,1,,GNAT1,1,,MAFA,1
KRT83,2,,AKT1,1,,COQ8A,1,,GNB1,1,,MASP1,1
LIPH,2,,AKT2,1,,COQ8B,1,,GNB4,1,,MRAS,1
MC2R,2,,AMPD2,1,,CRAT,1,,GRIK4,1,,MSX1,1
MC4R,2,,AMPD3,1,,CREBBP,1,,GRIN2D,1,,MSX2,1
MUSK,2,,ANTXR1,1,,CRYBB2,1,,GUCY2C,1,,MYC,1
MYH14,2,,ANTXR2,1,,CRYGC,1,,H3F3A,1,,MYCN,1
MYH2,2,,AQP5,1,,CYP1B1,1,,HECW2,1,,MYH11,1
NAGA,2,,ARID1A,1,,CYP24A1,1,,HEXB,1,,MYH6,1
NKX2-5,2,,ARID1B,1,,DHH,1,,HNF4A,1,,MYH8,1
NPR2,2,,ARSG,1,,DLX3,1,,HNRNPA2B1,1,,MYO5B,1
NR2E3,2,,ATL1,1,,DMBX1,1,,HSD3B2,1,,MYOC,1
NRL,2,,ATL3,1,,DTNA,1,,HSD3B7,1,,NALCN,1
OCRL,2,,ATN1,1,,ECEL1,1,,IHH,1,,NCF1,1
POU3F4,2,,ATRX,1,,ECHS1,1,,IKBKG,1,,NDUFA9,1
POU4F3,2,,AUH,1,,EHMT1,1,,INPPL1,1,,NEDD4L,1
PTCH1,2,,BCHE,1,,EIF2AK3,1,,ITK,1,,NEUROD1,1
PYCR2,2,,BMP15,1,,EIF2AK4,1,,JAK1,1,,NEUROG3,1
RUNX1,2,,BMP4,1,,ELOVL4,1,,KCNA1,1,,NFIA,1
SDHD,2,,C1QC,1,,ELOVL5,1,,KCNA2,1,,NFIB,1
SETD2,2,,C1S,1,,ERBB3,1,,KCNB1,1,,NLGN3,1
SLC4A1,2,,CALM1,1,,ERBB4,1,,KCNC3,1,,NLGN4X,1
SLC52A2,2,,CD40,1,,ESRRB,1,,KCND3,1,,NOTCH1,1
SLC6A1,2,,CDC42,1,,EZH2,1,,KCNH1,1,,NR1H3,1
SOX11,2,,CHAT,1,,FGF17,1,,KCNJ18,1,,NR3C2,1
